"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Incident.Date","Blurred_Longitude","Blurred_Latitude","broad_category"
2024000130659,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - AUTO THEFT","AUTOMOBILES - AUTO THEFT",2024-05-14,-122.27990956,47.63394658,"theft"
2024000129202,"STREET CHECK WRITTEN","911",1,"ASLT - WITH OR W/O WPNS (NO SHOOTINGS)","DISTURBANCE - FIGHT",2024-05-12,-122.27825756,47.63561763,"violence"
2024000127720,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-05-11,-122.28128105,47.6341365,"suspicious"
2024000124367,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - AUTO THEFT","AUTOMOBILES - AUTO THEFT",2024-05-07,-122.27715121,47.63394952,"theft"
2024000113311,"REPORT WRITTEN (NO ARREST)","911",3,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","CRISIS COMPLAINT - GENERAL",2024-04-26,-122.28079374,47.63804489,"disturbance"
2024000109199,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"NUISANCE","DISTURBANCE - OTHER",2024-04-22,-122.28046254,47.63412931,"disturbance"
2024000109146,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-04-22,-122.28106301,47.63372768,"suspicious"
2024000103240,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-04-16,-122.27842683,47.63911041,"suspicious"
2024000103158,"ASSISTANCE RENDERED","911",2,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2024-04-16,-122.28079374,47.63804489,"disturbance"
2024000102940,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-04-16,-122.27712031,47.63638679,"disturbance"
2024000101870,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-04-15,-122.27842683,47.63911041,"suspicious"
2024000099147,"REPORT WRITTEN (NO ARREST)","911",1,"ROBBERY - CRITICAL (INCLUDES STRONG ARM)","ROBBERY - STRONG ARM",2024-04-12,-122.28046254,47.63412931,"theft"
2024000098895,"ASSISTANCE RENDERED","911",1,"OVERDOSE","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2024-04-12,-122.27708786,47.63910349,"drug"
2024000097995,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"DISTURBANCE","DISTURBANCE - OTHER",2024-04-11,-122.27710074,47.63802565,"disturbance"
2024000091019,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2024-04-04,-122.27842683,47.63911041,"suspicious"
