"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Original.Time.Queued","Blurred_Longitude","Blurred_Latitude"
2023000319821,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"BURN - RECKLESS BURNING","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","11/04/2023 6:08:26 PM",-122.28112,47.6176603
2023000356986,"ASSISTANCE RENDERED","911",3,"PROPERTY - DAMAGE","PROPERTY DEST (DAMG)","12/12/2023 4:06:49 PM",-122.2811368,47.61705037
2023000282667,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","09/29/2023 5:55:45 PM",-122.2811368,47.61705037
2021000208509,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","08/12/2021 8:31:13 AM",-122.2811368,47.61705036
2021000180458,"ASSISTANCE RENDERED","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","DISTURBANCE - OTHER","07/16/2021 1:39:18 PM",-122.2811368,47.61705036
2020000160225,"ORAL WARNING GIVEN","TELEPHONE OTHER, NOT 911",2,"LEWD -  (EXPOSING, FLASHING)","DISTURBANCE - NOISE","05/15/2020 11:48:58 AM",-122.2811368,47.61705036
2021000119005,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",5,"TRU - SEX IN PUBLIC","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT","05/15/2021 1:25:10 PM",-122.2811368,47.61705036
2021000123959,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","05/20/2021 7:57:36 PM",-122.2811368,47.61705036
2022000266177,"RESPONDING UNIT(S) CANCELLED BY RADIO","911",1,"BURN - RECKLESS BURNING","ASSIST OTHER AGENCY - CITY AGENCY","10/04/2022 6:24:55 PM",-122.2811368,47.61705036
2020000152748,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT","05/08/2020 7:23:37 PM",-122.2811368,47.61705036
2021000050120,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","02/28/2021 6:26:49 PM",-122.2811368,47.61705036
2021000168001,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","DISTURBANCE - OTHER","07/04/2021 4:13:39 PM",-122.2811368,47.61705036
2018000104026,"ORAL WARNING GIVEN","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON","03/23/2018 9:38:42 PM",-122.2811368,47.61705036
2023000117957,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)","05/01/2023 12:01:26 PM",-122.2813671,47.6176578
